Freq,Normalised Spectra,velocity,Vlsr,V_LSRK,fit_X,fit_Y,Power_corrected,Normalised Power,a,b,c,,Vlsr,,expected
1421.188,0.049576174,-165.62,-161.815,,,,2.86E-03,2.93E-03,,,,,-166.94,0.03,0.0004675081814
1421.196,0.055866281,-167.31,-163.505,,,,8.87E-03,9.10E-03,,,,,-165.91,0.03,0.0004675081814
1421.204,0.046853949,-169,-165.195,,,,-4.23E-04,-4.34E-04,,,,,-164.88,0.03,0.0004675081814
1421.212,0.051383396,-170.69,-166.885,,,,3.82E-03,3.92E-03,,,,,-163.85,0.03,0.0004675081814
1421.22,0.052050192,-172.38,-168.575,,,,4.21E-03,4.32E-03,,,,,-162.82,0.03,0.0004675081814
1421.228,0.052503828,-174.07,-170.265,,,,4.38E-03,4.49E-03,,,,,-161.79,0.03,0.0004675081814
1421.236,0.051416881,-175.76,-171.955,,,,3.01E-03,3.08E-03,,,,,-160.76,0.03,0.0004675081814
1421.244,0.057939364,-177.45,-173.645,,,,9.24E-03,9.48E-03,,,,,-159.73,0.02,0.0003116721209
1421.252,0.051825978,-179.14,-175.335,,,,2.84E-03,2.92E-03,,,,,-158.7,0.02,0.0003116721209
1421.26,0.056024766,-180.83,-177.025,,,,6.75E-03,6.93E-03,,,,,-157.66,0.02,0.0003116721209
