Velocity,23.0 deg,10.0 deg
km/s, K, K
  414.9, 0.00, 0.00
  416.2, 0.00, 0.00
  417.5, 0.00, 0.01
  418.8, 0.00, 0.00
  420.1, 0.00, 0.01
  421.3, 0.00, 0.00
  422.6, 0.00, 0.00
  423.9, 0.00, 0.01
  425.2, 0.00, 0.01
  426.5, 0.00, 0.01
  427.8, 0.00, 0.01
  429.1, 0.01, 0.01
  430.4, 0.00, 0.01
  431.7, 0.00, 0.00
  432.9, 0.00, 0.00
  434.2, 0.00, 0.01
  435.5, 0.00, 0.01
  436.8, 0.00, 0.00
  438.1, 0.00, 0.00
  439.4, 0.00, 0.00
  440.7, 0.00, 0.00
  442.0, 0.00, 0.00
  443.2, 0.00, 0.00
  444.5, 0.00, 0.01
  445.8, 0.00, 0.00
  447.1, 0.00, 0.00
  448.4, 0.00, 0.00
  449.7, 0.00, 0.00
  451.0, 0.00, 0.00
  452.3, 0.00, 0.00
  453.6, 0.00, 0.00
  454.8, 0.00,-0.00
  456.1, 0.00, 0.00
  457.4, 0.00, 0.00
  458.7, 0.00, 0.00
  460.0, 0.00, 0.00
  461.3, 0.00, 0.00
  462.6, 0.00, 0.00
  463.9, 0.00, 0.00
  465.1, 0.00, 0.00
  466.4, 0.00, 0.01
  467.7, 0.00, 0.00
  469.0, 0.00, 0.00
  470.3, 0.00, 0.00
  471.6, 0.00, 0.00
  472.9, 0.00, 0.00
  474.2, 0.00, 0.00
  475.5, 0.00, 0.00
  476.7, 0.00,-0.00
  478.0, 0.00,-0.00
  479.3, 0.00, 0.00
  480.6, 0.00, 0.00
  481.9, 0.00,-0.00
  483.2, 0.00, 0.00
  484.5,-0.00,-0.00
  485.8, 0.00, 0.00
  487.0, 0.00, 0.00
  488.3, 0.00, 0.00
  489.6, 0.00, 0.00
  490.9, 0.00, 0.00
  492.2, 0.00,-0.00
  493.5, 0.00, 0.00
  494.8, 0.00, 0.00
  496.1, 0.00,-0.00
  497.4, 0.00,-0.00
  498.6, 0.00,-0.00
  499.9, 0.00,-0.00
  501.2, 0.00,-0.00
  502.5, 0.00,-0.00
  503.8, 0.00,-0.00
  505.1,-0.00,-0.00
  506.4, 0.00,-0.00
  507.7, 0.00,-0.00
  508.9, 0.00,-0.00
  510.2, 0.00,-0.00
  511.5, 0.00, 0.00
  512.8, 0.00,-0.00
  514.1, 0.00, 0.00
  515.4, 0.00,-0.00
  516.7, 0.00,-0.00
  518.0, 0.00, 0.00
  519.3, 0.00,-0.00
  520.5, 0.00,-0.00
  521.8, 0.00,-0.00
  523.1, 0.00, 0.00
  524.4, 0.00, 0.01
  525.7, 0.00, 0.00
  527.0,-0.00,-0.00
  528.3,-0.00,-0.00
  529.6, 0.00,-0.00
  530.8, 0.00, 0.00
  532.1, 0.00, 0.00
  533.4, 0.00, 0.00
  534.7, 0.00, 0.00
  536.0, 0.00, 0.00
  537.3, 0.00, 0.00
  538.6, 0.00, 0.00
  539.9, 0.00, 0.00
  541.2, 0.00, 0.00
  542.4, 0.00, 0.00
  543.7, 0.00, 0.00
  545.0, 0.00, 0.00
  546.3, 0.00, 0.00
  547.6, 0.00, 0.00
  548.9, 0.00, 0.00
  550.2, 0.00, 0.00
  551.5, 0.00, 0.00
  552.7, 0.00, 0.00
  554.0, 0.00, 0.00
  555.3, 0.00, 0.00
  556.6, 0.00, 0.00
