Channel,Velocity, T_b (23 deg), T_b (10 deg)
 , km/s, K, K
376,-115.84,    0.0328,    0.9434
377,-114.55,    0.0340,    1.0840
378,-113.26,    0.0341,    1.2585
379,-111.97,    0.0346,    1.4743
380,-110.69,    0.0345,    1.7507
381,-109.40,    0.0349,    2.1202
382,-108.11,    0.0357,    2.5709
383,-106.82,    0.0359,    3.0984
384,-105.53,    0.0357,    3.7257
385,-104.24,    0.0361,    4.4702
386,-102.96,    0.0359,    5.3108
387,-101.67,    0.0358,    6.2678
388,-100.38,    0.0360,    7.1291
389, -99.09,    0.0355,    7.6171
390, -97.80,    0.0361,    7.7888
391, -96.52,    0.0360,    7.8812
392, -95.23,    0.0362,    8.1026
393, -93.94,    0.0362,    8.3461
394, -92.65,    0.0362,    8.5303
395, -91.36,    0.0350,    8.6003
396, -90.07,    0.0347,    8.6177
397, -88.79,    0.0352,    8.6579
398, -87.50,    0.0351,    8.8480
399, -86.21,    0.0346,    9.1767
400, -84.92,    0.0347,    9.5775
401, -83.63,    0.0352,    9.9888
402, -82.34,    0.0356,   10.3677
403, -81.06,    0.0359,   10.7655
404, -79.77,    0.0356,   11.1885
405, -78.48,    0.0356,   11.5458
406, -77.19,    0.0361,   11.6304
407, -75.90,    0.0364,   11.9089
408, -74.62,    0.0367,   12.1383
409, -73.33,    0.0373,   12.4043
410, -72.04,    0.0383,   12.5666
411, -70.75,    0.0396,   13.0687
412, -69.46,    0.0409,   13.9062
413, -68.17,    0.0418,   15.0810
414, -66.89,    0.0436,   16.5662
415, -65.60,    0.0451,   18.3057
416, -64.31,    0.0472,   20.2961
417, -63.02,    0.0495,   22.5365
418, -61.73,    0.0516,   25.0478
419, -60.45,    0.0545,   27.8201
420, -59.16,    0.0570,   30.7013
421, -57.87,    0.0601,   33.3555
422, -56.58,    0.0641,   35.7012
423, -55.29,    0.0668,   37.5438
424, -54.00,    0.0705,   38.6642
425, -52.72,    0.0746,   39.2713
426, -51.43,    0.0786,   39.5247
427, -50.14,    0.0830,   39.5939
428, -48.85,    0.0873,   39.7808
429, -47.56,    0.0913,   40.1370
430, -46.27,    0.0963,   40.5000
431, -44.99,    0.1014,   40.5220
432, -43.70,    0.1077,   40.0842
433, -42.41,    0.1147,   39.1993
434, -41.12,    0.1219,   37.9263
435, -39.83,    0.1318,   36.5484
436, -38.55,    0.1430,   35.0248
437, -37.26,    0.1565,   33.4195
438, -35.97,    0.1746,   31.5190
439, -34.68,    0.1964,   29.4360
440, -33.39,    0.2235,   27.2546
441, -32.10,    0.2557,   25.0736
442, -30.82,    0.2962,   23.0647
443, -29.53,    0.3470,   21.2843
444, -28.24,    0.4096,   19.9470
445, -26.95,    0.4839,   19.0741
446, -25.66,    0.5756,   18.6689
447, -24.38,    0.6845,   18.8383
448, -23.09,    0.8138,   19.5727
449, -21.80,    0.9700,   20.8022
450, -20.51,    1.1514,   22.4764
451, -19.22,    1.3662,   24.4575
